# Dataset "300K (+)" exported from GenX on Fri Dec 16 10:23:57 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
2.354971882144000356e-02 4.456564507414155496e-02 4.319135999999999809e-02 1.446479999999999988e-03 4.786962689313652673e-04
2.372311406304000378e-02 4.279292811454950274e-02 4.482970000000000010e-02 8.858966000000000453e-04 4.594784448294500566e-04
2.406444658464000283e-02 3.952691105839727798e-02 3.976649000000000156e-02 8.072598000000000057e-04 4.613648778562256690e-04
2.416139887560000282e-02 3.866134592545247828e-02 3.891238999999999809e-02 1.389269999999999958e-03 4.840232305010163153e-04
2.441576087832000169e-02 3.640804768607600744e-02 3.600238000000000049e-02 7.295407000000000064e-04 4.633429230745194326e-04
2.477747678728000474e-02 3.343674129486946811e-02 3.266489999999999672e-02 6.795412999999999714e-04 4.654185688779617137e-04
2.480570074640000081e-02 3.323322626380570410e-02 3.273241000000000345e-02 1.255727000000000102e-03 4.898874338052058896e-04
2.515006663512000043e-02 3.061288297691604904e-02 3.048963999999999841e-02 6.379670000000000262e-04 4.675982260142675273e-04
2.548531143032000193e-02 2.828128252629122374e-02 2.742872000000000018e-02 1.130039999999999907e-03 4.963604960256305610e-04
2.553403423367999955e-02 2.793607001255364944e-02 2.706379000000000076e-02 5.835038999999999547e-04 4.698890081677161508e-04
2.592991488304000405e-02 2.540560754817580702e-02 2.450551999999999939e-02 5.446621999999999705e-04 4.722983425920633440e-04
2.620321181408000188e-02 2.380260930749062559e-02 2.329410999999999982e-02 1.108218999999999914e-03 5.035227597229741548e-04
2.633826487544000186e-02 2.302056283646764304e-02 2.300272000000000081e-02 5.262539000000000539e-04 4.748351644771057123e-04
2.675967199136000327e-02 2.077967260510180103e-02 2.045662999999999995e-02 5.143342000000000400e-04 4.775072201808994534e-04
2.719478698776000430e-02 1.868118801997006861e-02 1.779827000000000145e-02 4.796582999999999880e-04 4.803257313463853953e-04
2.764429210984000254e-02 1.672305635642482025e-02 1.621028000000000052e-02 4.483202000000000042e-04 4.832998370742535221e-04
2.810890109104000056e-02 1.490289582517032724e-02 1.458863999999999994e-02 4.130164000000000188e-04 4.864426312516615812e-04
2.858939064128000404e-02 1.321785985679252429e-02 1.275608999999999944e-02 3.745722999999999848e-04 4.897659369494779345e-04
2.908660044696000091e-02 1.166466891555581475e-02 1.132449999999999950e-02 3.467186000000000248e-04 4.932839355009343814e-04
2.960140168272000147e-02 1.023971202597480021e-02 1.009939999999999970e-02 3.281499999999999803e-04 4.970118228491552433e-04
3.013475998792000329e-02 8.938865768112451080e-03 8.709833999999999632e-03 3.108086000000000247e-04 5.009660904040910473e-04
3.068769348232000191e-02 7.757640039462773002e-03 7.569176999999999850e-03 3.014739999999999803e-04 5.051662306827822647e-04
3.126129375824000106e-02 6.691132276930173046e-03 6.762986999999999818e-03 2.775011999999999987e-04 5.096307000329160317e-04
3.185674687272000566e-02 5.734019315320517014e-03 5.908087000000000234e-03 2.516919999999999748e-04 5.143833316669679627e-04
